-10, -2.6, 1.9, 6.2, 15.5, 15.7, 20.3, 18.5, 11.6, 3.1, 2.2, -4.7  # 2014
-6.1, -5.3, 0.8, 5.4, 13.9, 17.2, 17.7, 16.8, 13.4, 3.7, -0.1, -0.3  # 2015
-11.2, -1.3, -0.5, 7.4, 14.3, 17.4, 20.5, 18.8, 11.0, 4.1, -3.2, -5.3  # 2016
-8.6, -5.4, 1.8, 4.9, 10.3, 14.0, 17.4, 18.1, 12.4, 4.6, -0.4, -0.6  # 2017
-5, -10.1, -6.1, 7.1, 15.5, 16.5, 19.9, 18.9, 14, 6.5, -1.2, -6.6  # 2018
-7.7, -2, -0.1, 7.4, 15.8, 19, 16.1, 15.7, 11.5, 8.1, 1, 0.4  # 2019
-0.2, -0.8, 3.2, 4.2, 11.2, 18.3, 18.3, 16.8, 13.2, 8.5, 1.6, -4.8  # 2020
-6.6, -11.7, -2.2, 6.8, 13.8, 19.7, 21.6, 18.9, 9.4, 5.7, 1.7, -8  # 2021
-6.1, -1.7, -1.9, 5.2, 10.1, 18.2, 20.1, 21.2, 9.5, 6.7, -1.2, -4.8  # 2022
-5.4, -4.7, 0.3, 8.9, 12.2, 16.4, 18.2, 19.8, 15.5, 5.4, 0.6, -5.4  # 2023
-10.7, -4.8, 1.3, 11.1, 12.7, 20.3, 22.9, 20.4, 19, 8.7, 1.8, -2.8  # 2023
